IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3
0043_18,3,2,-154.688972,-154.60294519,-154.60092462
0043_19,2,3,-154.64057226,-154.54414238,-154.53690599
0043_2,2,3,-154.69618623,-154.57340815,-154.56906726
0043_3,3,2,-154.67573583,-154.5747231,-154.57373094
0043_4,2,3,-154.70834607,-154.60621724,-154.60566422
0043_5,3,2,-154.72780462,-154.58978841,-154.58361023
0043_6,2,3,-154.77754405,-154.63567481,-154.60616953
0043_7,2,1,-154.60859015,-154.60607608,-154.4445843
0043_8,3,2,-154.72774506,-154.60068766,-154.59555292
0043_9,2,3,-154.71172306,-154.60018939,-154.59357635
0044_10,2,1,-154.64551122,-154.64156527,-154.48877335
0044_11,2,1,-154.64973441,-154.64889513,-154.48178453
0044_12,2,1,-154.66274433,-154.65052648,-154.52183011
0044_13,2,1,-154.65937592,-154.65539211,-154.43287789
0044_2,2,3,-154.89940064,-154.63131068,-154.62968999
0044_3,3,2,-154.80205844,-154.62043234,-154.61512159
0044_4,3,2,-154.78468807,-154.62804464,-154.62385419
0044_5,2,1,-154.66325716,-154.65628251,-154.48530474
0044_6,3,2,-154.88107777,-154.61470574,-154.6113827
0044_7,2,1,-154.64749646,-154.64222759,-154.47473883
0044_8,3,2,-154.78985606,-154.64664725,-154.63462823
0044_9,3,2,-154.75054632,-154.64717424,-154.64339627
0045_2,2,3,-154.87324647,-154.60433605,-154.60147997
0045_3,2,1,-154.65430223,-154.65185564,-154.45611373
0045_4,3,2,-154.77361215,-154.62814386,-154.62621799
0045_5,2,1,-154.64328275,-154.63928315,-154.42390256
0045_6,2,1,-154.6146197,-154.61135542,-154.46003475
0045_7,2,1,-154.64223251,-154.63529924,-154.48884064
0045_8,2,1,-154.58854894,-154.58462724,-154.48163311
0046_10,2,1,-154.68325999,-154.67921088,-154.49423123
0046_11,2,1,-154.63899193,-154.63811727,-154.46146404
0046_2,2,3,-154.90107875,-154.62723514,-154.62550595
0046_3,3,2,-154.75875938,-154.65280131,-154.65006473
0046_4,3,2,-154.78012617,-154.65358448,-154.65097961
0046_5,2,1,-154.65067727,-154.64763187,-154.47022385
0046_6,3,2,-154.7635162,-154.64938385,-154.64326401
0046_7,3,2,-154.77791697,-154.64545863,-154.64014301
0046_8,3,2,-154.75135709,-154.61736217,-154.61446726
0046_9,3,2,-154.77294852,-154.64635435,-154.64355772
0047_10,2,1,-154.68100596,-154.67466638,-154.48311162
0047_11,2,1,-154.64696249,-154.64228322,-154.46895076
0047_12,2,1,-154.65196292,-154.64879317,-154.48401043
0047_2,2,3,-154.90278644,-154.63056188,-154.62889422
0047_3,3,2,-154.76309375,-154.63345103,-154.631205
0047_4,3,2,-154.74367366,-154.6408134,-154.63792771
0047_5,3,2,-154.72946688,-154.63086198,-154.62669971
0047_6,2,1,-154.67554362,-154.668941,-154.47508773
0047_7,2,1,-154.63128038,-154.6233168,-154.47118606
0047_8,2,1,-154.70298964,-154.70112831,-154.51523295
0047_9,3,2,-154.73746555,-154.6394793,-154.634351
0048_2,2,1,-154.65016273,-154.64850703,-154.48522154
0049_10,2,1,-154.67627921,-154.66454152,-154.49922367
0049_11,2,1,-154.65354521,-154.6480083,-154.47301834
0049_12,2,1,-154.66777351,-154.65611975,-154.45369495
0049_13,2,1,-154.64664881,-154.63891432,-154.49573605
0049_2,2,3,-154.87667938,-154.60034183,-154.59742515
0049_3,3,2,-154.88826788,-154.6237626,-154.62241197
0049_4,3,2,-154.87123226,-154.60803132,-154.60600254
0049_5,2,3,-154.88504922,-154.62396787,-154.61829518
