idx,cluster
0482_3,1
0016_3,2
0855_3,2
0151_4,2
0602_2,2
0296_2,1
0647_2,0
0929_2,0
0352_3,2
0215_4,0
0352_2,2
0929_3,2
0783_2,0
0317_2,2
0602_3,0
0647_3,0
0151_5,2
0369_4,2
0934_6,2
0482_2,1
0177_6,2
0810_2,0
0053_2,1
0855_2,2
0016_2,1
0503_3,0
0197_3,2
0546_3,1
0095_4,2
0893_4,2
0376_3,0
0333_3,2
0231_4,2
0188_4,0
0761_5,0
0626_2,2
0663_2,0
0077_3,0
0834_3,0
0032_3,2
0871_3,2
0308_5,0
0653_10,2
0460_5,2
0527_2,0
0562_2,0
0237_2,2
0272_2,1
0148_4,2
0599_4,0
0620_4,0
0665_4,2
0767_3,0
0722_3,2
0136_2,2
0814_6,0
0173_2,2
0930_2,0
0698_4,1
0249_4,2
0877_5,2
0564_4,1
0423_3,1
0785_4,0
0311_4,1
0129_5,0
0868_2,2
0213_3,2
0687_3,0
0256_3,1
0392_2,1
0743_2,1
0706_2,0
0604_5,0
0479_4,0
0290_5,2
0816_4,2
0055_4,0
0228_5,0
0853_4,0
0951_3,0
0112_3,1
0914_3,0
0157_3,1
0586_3,2
0442_2,2
0093_2,2
0407_2,1
0895_2,1
0778_4,2
0368_3,1
0913_2,0
0150_2,2
0956_2,2
0115_2,1
0483_5,2
0547_4,2
0502_4,0
0638_2,0
0400_3,0
0094_3,0
0445_3,2
0759_6,2
0251_2,2
0069_3,2
0680_2,0
0214_2,0
0839_9,0
0928_4,2
0353_5,0
0539_2,2
0395_3,2
0835_4,0
0174_3,2
0268_6,2
0131_3,2
0309_2,2
0424_2,1
0461_2,2
0288_3,0
0659_3,1
0563_5,0
0332_4,0
0377_4,2
0275_3,0
0008_2,1
0230_3,1
0725_2,0
0558_3,0
0189_3,1
0760_2,0
0662_5,2
0035_2,2
0876_2,1
0248_3,0
0070_2,2
0833_2,0
0699_3,0
0565_3,0
0718_2,2
0520_3,2
0422_4,0
0273_5,0
0334_2,2
0598_3,0
0371_2,1
0149_3,2
0664_3,0
0621_3,2
0419_2,1
0723_4,1
0852_3,1
0011_3,0
0229_2,1
0817_3,2
0054_3,0
0485_3,1
0587_4,0
0915_4,0
0950_4,2
0552_8,0
0443_5,2
0541_2,2
0190_2,2
0779_3,1
0504_2,0
0128_2,0
0310_3,0
0784_3,2
0257_4,2
0686_4,2
0653_8,0
0393_5,0
0478_3,0
0291_2,0
0640_2,0
0605_2,0
0291_3,2
0478_2,2
0605_3,0
0393_4,2
0653_9,0
0742_4,2
0686_5,0
0257_5,2
0310_2,0
0128_3,0
0355_2,1
0784_2,0
0779_2,1
