IC_Spawn,singlet_1,singlet_2,meci_type
0419_3,-77.70495726,-77.70171495,H_Dissociation
0419_4,-77.70292212,-77.70232737,H_Dissociation
0420_2,-77.71005247,-77.70671212,Ethylidene_Straight
0420_3,-77.70000544,-77.69838755,Ethylidene_Bent
0420_4,-77.74711609,-77.74654783,Ethylidene_Straight
0421_2,-77.77045352,-77.76924236,Ethylidene_Bent
0421_3,-77.82110622,-77.818815,Ethylidene_Bent
0421_4,-77.78072858,-77.77919634,Ethylidene_Bent
0421_5,-77.734499,-77.73432041,Ethylidene_Bent
0422_2,-77.78156202,-77.78150743,Ethylidene_Bent
0422_3,-77.69447248,-77.68929277,Ethylidene_Bent
0422_4,-77.79540673,-77.79377213,Ethylidene_Bent
0423_2,-77.71049613,-77.70565564,Ethylidene_Straight
0423_3,-77.68865092,-77.68698595,Ethylidene_Bent
0424_2,-77.72193858,-77.72085045,Ethylidene_Bent
0425_2,-77.68261052,-77.67970183,H_Dissociation
0425_3,-77.71149174,-77.70408483,H_Dissociation
0426_2,-77.79384474,-77.79226943,Twist
0426_3,-77.79958569,-77.79279521,Twist
0426_4,-77.72883856,-77.72853933,Ethylidene_Straight
0426_5,-77.7756029,-77.77552538,Ethylidene_Straight
0427_2,-77.78574102,-77.78299283,Twist
0428_2,-77.75487907,-77.75036378,Twist
0428_3,-77.78506148,-77.78341455,Twist
0429_2,-77.76461616,-77.75696142,Twist
0429_3,-77.78476359,-77.78118038,Twist
0430_2,-77.73655925,-77.73115813,Twist
0430_3,-77.73888793,-77.73705446,Twist
0432_2,-77.77442327,-77.7703927,Ethylidene_Straight
0432_3,-77.74184092,-77.74081891,Ethylidene_Bent
0432_4,-77.78718437,-77.78575006,Ethylidene_Bent
0433_2,-77.70367347,-77.70227789,Ethylidene_Straight
0434_2,-77.70024253,-77.69711791,H_Dissociation
0434_3,-77.73416702,-77.73178375,Ethylidene_Straight
0435_2,-77.71927336,-77.71479102,H_Dissociation
0435_3,-77.71260816,-77.71078836,Ethylidene_Bent
0436_2,-77.78532481,-77.78367403,Twist
0436_3,-77.7549005,-77.75307382,Twist
0437_2,-77.70659484,-77.70525602,H_Dissociation
0438_2,-77.70836968,-77.70546243,H_Dissociation
0438_3,-77.72067446,-77.71386293,H_Dissociation
0439_2,-77.73355652,-77.72393221,Twist
0439_3,-77.83708469,-77.83530941,Ethylidene_Bent
0440_2,-77.68368376,-77.67883765,Ethylidene_Bent
0440_3,-77.79622439,-77.79488524,Ethylidene_Bent
0440_4,-77.77671919,-77.77429944,Ethylidene_Straight
0440_5,-77.79702689,-77.7959691,Ethylidene_Straight
0441_2,-77.73441235,-77.73081439,Twist
0441_3,-77.79465934,-77.79440788,Ethylidene_Straight
0441_4,-77.73615665,-77.73590531,Ethylidene_Straight
0442_2,-77.7713992,-77.76519117,Twist
0442_3,-77.79422533,-77.79256074,Twist
0443_2,-77.7263813,-77.71991861,Ethylidene_Bent
0443_3,-77.72375626,-77.71691406,Ethylidene_Bent
0443_4,-77.69694986,-77.68971788,Twist
0443_5,-77.71552961,-77.71502247,Ethylidene_Straight
0443_6,-77.6870723,-77.68352622,Ethylidene_Straight
0443_7,-77.76804674,-77.76605846,Ethylidene_Bent
0444_2,-77.76540567,-77.76160544,Twist
0444_3,-77.7687165,-77.76719513,Twist
0445_2,-77.73349134,-77.72557369,Twist
0445_3,-77.75227795,-77.75183732,Ethylidene_Straight
0445_4,-77.7208249,-77.71823319,Ethylidene_Bent
0445_5,-77.71475639,-77.70902184,Ethylidene_Straight
0445_6,-77.71612546,-77.71483493,Ethylidene_Bent
0446_2,-77.7007453,-77.69554864,H_Dissociation
0446_3,-77.7063009,-77.70509269,H_Dissociation
0447_2,-77.71090758,-77.70779875,Twist
0448_2,-77.7903952,-77.78245345,Twist
0448_3,-77.7472029,-77.74365058,Twist
0449_2,-77.70127009,-77.69528937,Twist
0449_3,-77.72424306,-77.72007525,Twist
0450_2,-77.71544929,-77.70570981,Ethylidene_Bent
0450_3,-77.68104154,-77.67627051,Ethylidene_Straight
0450_4,-77.74303397,-77.74184527,Twist
0451_2,-77.7061607,-77.6888649,CC_Dissociation
0451_4,-77.68751449,-77.68551943,CC_Dissociation
0452_2,-77.77132721,-77.7654513,Twist
0452_3,-77.76291329,-77.762315,Twist
0453_2,-77.71564378,-77.70840334,Twist
0453_3,-77.67946066,-77.67901516,Twist
0454_2,-77.83110201,-77.82989769,Ethylidene_Bent
0454_3,-77.75413106,-77.75359505,Ethylidene_Straight
0454_4,-77.75406688,-77.75393809,Ethylidene_Bent
0454_5,-77.78405297,-77.78375524,Ethylidene_Bent
0455_2,-77.72450987,-77.71764475,H_Dissociation
0455_3,-77.71743433,-77.71442475,H_Dissociation
0456_2,-77.72900886,-77.72427041,Twist
0456_3,-77.72470908,-77.71487058,Twist
0456_4,-77.69387245,-77.69034701,Twist
0457_2,-77.70084,-77.69896033,Ethylidene_Straight
