IC_Spawn,from_state,to_state,singlet_1,singlet_2,singlet_3,meci_type
0139_8,2,1,-230.34550861,-230.34285527,-230.26345183,Type_3
0139_9,2,1,-230.37640948,-230.37022573,-230.27726747,Type_3
0140_10,2,1,-230.33513231,-230.32960102,-230.22176154,Type_3
0140_11,2,1,-230.3490696,-230.34872428,-230.24677989,Type_3
0140_12,2,1,-230.34204147,-230.34119579,-230.25248398,Type_2
0140_13,2,1,-230.34790563,-230.34066459,-230.21921591,Type_2
0140_14,2,1,-230.34940602,-230.34811756,-230.22682656,Type_1
0140_15,2,1,-230.33986569,-230.33325971,-230.21776918,Type_1
0140_16,2,1,-230.36240524,-230.35914585,-230.24021543,Type_1
0140_3,2,1,-230.36929893,-230.35618655,-230.25397146,Type_3
0140_4,2,1,-230.37657717,-230.36278174,-230.26695654,Type_3
0140_7,2,1,-230.34740749,-230.33891634,-230.23640631,Type_3
0140_8,2,1,-230.34348896,-230.32713021,-230.21748532,Type_3
0141_10,2,1,-230.34391597,-230.33966192,-230.22341264,Type_1
0141_11,2,1,-230.36307348,-230.35505801,-230.22116084,Type_1
0141_12,2,1,-230.38168395,-230.38089219,-230.23282131,Type_1
0141_3,2,1,-230.34833932,-230.33913559,-230.22718556,Type_2
0141_6,2,1,-230.34323607,-230.34266398,-230.24648226,Type_2
0141_7,2,1,-230.36117695,-230.35830128,-230.24963081,Type_2
0141_9,2,1,-230.36341311,-230.36238379,-230.25529679,Type_2
0142_10,2,1,-230.37259184,-230.35431613,-230.24473325,Type_3
0142_11,2,1,-230.36064568,-230.34553049,-230.23874259,Type_3
0142_12,2,1,-230.36244446,-230.3515913,-230.24447254,Type_3
0142_13,2,1,-230.35632521,-230.34723502,-230.24560793,Type_3
0142_14,2,1,-230.36184896,-230.34976134,-230.24918529,Type_3
0142_15,2,1,-230.36103352,-230.35963698,-230.22232002,Type_1
0142_16,2,1,-230.33395274,-230.32759632,-230.23777013,Type_3
0142_17,2,1,-230.35136644,-230.34982102,-230.25191447,Type_2
0142_18,2,1,-230.35328882,-230.35088429,-230.24914736,Type_1
0142_19,2,1,-230.3298787,-230.32674552,-230.23872533,Type_1
0142_3,2,1,-230.3468725,-230.34218151,-230.22904806,Type_3
0142_5,2,1,-230.36766214,-230.35112262,-230.26772155,Type_3
0143_10,2,1,-230.33257039,-230.32856813,-230.22505898,Type_2
0143_11,2,1,-230.32576194,-230.32063014,-230.23328352,Type_2
