IC_Spawn,singlet_1,singlet_2
0746_4,-77.74459808,-77.74242581
0746_5,-77.82365363,-77.81949816
0746_6,-77.73190994,-77.72936901
0746_7,-77.76689688,-77.7575609
0748_2,-77.72956959,-77.72562347
0748_3,-77.72840067,-77.72618189
0749_2,-77.74281239,-77.7331588
0749_3,-77.7921533,-77.78991866
0750_2,-77.75339114,-77.75302911
0750_3,-77.85190721,-77.85031542
0751_2,-77.72372025,-77.71962256
0751_3,-77.74104666,-77.74051999
0751_4,-77.80158939,-77.79938308
0751_5,-77.73449578,-77.73366721
0752_2,-77.67043587,-77.66512131
0752_3,-77.68014526,-77.67085692
0752_4,-77.68404311,-77.6833411
0753_2,-77.76524979,-77.76084363
0753_3,-77.72512276,-77.71973264
0753_4,-77.71480133,-77.712644
0754_2,-77.69442893,-77.69086908
0754_3,-77.78295533,-77.78256952
0755_2,-77.69675829,-77.69580412
0756_2,-77.69112079,-77.67787219
0756_3,-77.72451653,-77.7241627
0756_4,-77.72137096,-77.72109239
0756_5,-77.69576277,-77.68852602
0757_2,-77.79958227,-77.79008571
0757_3,-77.73920456,-77.7374373
0758_2,-77.797962,-77.7975774
0758_3,-77.73582483,-77.7351929
0759_10,-77.70024079,-77.70000394
0759_11,-77.70176,-77.70155848
0759_12,-77.70609321,-77.70598059
0759_13,-77.69230667,-77.69198509
0759_14,-77.68908941,-77.68879734
0759_2,-77.73560274,-77.72174056
0759_3,-77.69799109,-77.69771648
0759_4,-77.70305332,-77.70278129
0759_5,-77.69780538,-77.69769398
0759_6,-77.69503229,-77.694778
0759_7,-77.69403981,-77.69382174
0759_8,-77.69364045,-77.69348613
0759_9,-77.69130463,-77.69116884
0760_2,-77.70116531,-77.69912778
0761_2,-77.7672502,-77.75850654
0761_3,-77.72721577,-77.72127428
0761_4,-77.7910918,-77.79072351
0761_5,-77.81055586,-77.80919611
0762_2,-77.79756625,-77.79659585
0762_3,-77.7519909,-77.74593847
0762_4,-77.85119478,-77.84872965
0762_5,-77.77539039,-77.77471573
0763_2,-77.75097161,-77.74475234
0763_3,-77.7260115,-77.72594627
0764_2,-77.69121257,-77.66819513
0764_3,-77.72858955,-77.71837333
0764_4,-77.75364802,-77.75255676
0764_5,-77.77495758,-77.77240531
0765_2,-77.79047548,-77.78364163
0765_3,-77.81002431,-77.80784483
0766_2,-77.70521386,-77.70017551
0766_3,-77.72051126,-77.71911673
0767_2,-77.78927145,-77.77990135
0767_3,-77.81268664,-77.81117057
0767_4,-77.79001806,-77.78586952
0767_5,-77.77451419,-77.76963625
0768_2,-77.72622826,-77.72267356
0768_3,-77.75803749,-77.75224736
0769_2,-77.71119723,-77.7005629
0769_3,-77.73977707,-77.73754924
0770_2,-77.75133475,-77.74429538
0770_3,-77.807491,-77.80712359
0770_4,-77.74924732,-77.74453237
0770_5,-77.8218927,-77.82121857
0771_2,-77.75484403,-77.74849542
0771_3,-77.79644162,-77.78934548
0771_4,-77.79115805,-77.78476886
0771_5,-77.78966147,-77.78660274
0772_2,-77.78200519,-77.77935944
0773_2,-77.70408038,-77.69137337
0773_3,-77.66510535,-77.66489145
0773_4,-77.67384421,-77.6734554
0774_2,-77.70728767,-77.70447884
0775_2,-77.73608625,-77.73185312
0775_3,-77.75070262,-77.73984149
0775_4,-77.75555188,-77.75529416
0775_5,-77.77183051,-77.77153458
0776_2,-77.69238815,-77.68923149
0776_3,-77.71997151,-77.71833848
0776_4,-77.75593252,-77.75589798
0776_5,-77.73731059,-77.73430589
0776_6,-77.68603991,-77.68509816
0777_2,-77.71929219,-77.71205569
0777_3,-77.72521895,-77.72366514
